a/x + b
0, 0, 16, 14714580.0
0, 0.005, 113, 16077570.0
0, 0.01, 236, 16407540.0
0, 0.02, 173, 16304460.0
0, 0.04, 252, 16981800.0
0, 0.1, 321, 16997520.0
2, 0, 225, 16798710.0
2, 0.005, 159, 16554510.0
2, 0.01, 207, 16479930.0
2, 0.02, 240, 16583010.0
2, 0.04, 263, 17077350.0
2, 0.1, 599, 17214360.0
4, 0, 197, 16900530.0
4, 0.005, 209, 16649940.0
4, 0.01, 287, 17039700.0
4, 0.02, 269, 16962420.0      
4, 0.04, 258, 16617420.0      
4, 0.1, 418, 16635330.0
7, 0, 209, 16829160.0
7, 0.005, 285, 16633500.0
7, 0.01, 257, 16600200.0
7, 0.02, 287, 16691430.0
7, 0.04, 398, 17000400.0
7, 0.1, 473, 16965150.0
10, 0, 237, 16781280.0
10, 0.005, 347, 16626660.0
10, 0.01, 352, 16710120.0
10, 0.02, 331, 16713450.0
10, 0.04, 273, 16926030.0
10, 0.1, 630, 16963320.0
15, 0, 328, 16927770.0
15, 0.005, 305, 16830870.0
15, 0.01, 344, 16908060.0
15, 0.02, 340, 16675680.0
15, 0.04, 478, 16736820.0
15, 0.1, 677, 16882170.0
20, 0, 375, 16821630.0
20, 0.005, 327, 16751520.0
20, 0.01, 499, 16809090.0
20, 0.02, 383, 16650150.0
20, 0.04, 647, 17156010.0
20, 0.1, 903, 17211630.0
0, 0.1, 251, 16891860.0
0, 0.12, 597, 16671480.0
0, 0.14, 373, 16578450.0
2, 0.1, 439, 16678440.0
2, 0.12, 409, 16773300.0
2, 0.14, 505, 16802370.0
4, 0.1, 422, 16983540.0
4, 0.12, 653, 17226570.0
4, 0.14, 941, 17196360.0
7, 0.1, 467, 16878180.0
7, 0.12, 432, 16764960.0
7, 0.14, 647, 17215290.0
10, 0.1, 620, 16785930.0
10, 0.12, 581, 16874760.0
10, 0.14, 881, 17017050.0
15, 0.1, 683, 16979670.0
15, 0.12, 862, 17176770.0
15, 0.14, 808, 16987860.0
20, 0.1, 659, 16790520.0
20, 0.12, 947, 17219400.0
20, 0.14, 951, 17213670.0
